995 987
971 341 -757
917 898 -584
179 584 -933
697 845 -469
4 722 312
626 880 953
539 889 282
659 436 23
195 967 772
339 259 297
587 413 553
909 865 -33
949 276 -206
658 283 -613
568 375 280
366 415 -803
450 199 336
435 719 555
947 535 -312
245 276 870
307 459 -254
660 492 -137
623 884 -553
427 24 684
418 229 -245
954 219 614
684 664 562
380 480 -966
941 16 -86
352 318 -722
923 436 212
50 421 511
497 274 143
683 401 519
687 673 872
721 35 -978
316 853 -312
117 570 -94
74 97 -242
432 457 449
52 637 615
657 94 64
254 411 659
611 10 -760
695 651 -244
119 835 333
471 889 780
887 673 248
916 898 579
52 20 671
943 511 -110
398 702 -263
331 259 64
452 493 137
252 524 257
248 780 -706
513 599 -603
602 262 124
570 450 -935
895 773 -802
810 243 374
896 415 -801
885 148 350
350 314 781
303 404 817
764 358 657
515 243 -804
217 592 -423
433 389 -801
741 850 -739
826 495 431
207 324 94
759 141 -716
481 160 -581
140 672 -354
143 628 -103
725 598 528
132 592 -134
806 881 875
471 582 -50
189 526 -901
756 532 -984
336 786 -346
290 751 474
904 871 -5
314 73 202
193 426 964
844 4 -226
453 293 337
324 368 236
196 269 -949
29 874 -402
113 796 128
695 676 327
640 312 -599
845 590 272
302 787 663
802 105 -174
987 617 -4
190 734 -769
467 175 -923
470 203 740
138 889 -234
699 77 737
301 992 -274
717 94 -473
40 876 -283
187 863 -736
79 680 26
894 683 920
53 115 363
909 971 316
980 624 469
762 124 -910
935 149 -942
991 354 723
599 556 902
245 626 977
910 356 366
762 571 -516
259 48 -265
371 955 325
213 508 827
647 602 -270
902 16 514
954 710 -922
6 972 -987
109 888 -863
845 797 610
41 939 13
577 803 662
1 963 623
777 139 -966
567 837 771
31 747 454
195 718 -116
903 865 436
453 8 304
864 178 83
347 371 -182
809 397 252
786 397 882
584 171 196
764 620 -886
465 95 -529
383 584 -726
657 738 700
851 385 31
948 399 -455
585 373 -497
950 400 -513
133 187 480
622 927 101
620 937 179
407 361 -995
664 14 728
297 286 -60
64 825 363
258 115 657
478 610 797
51 252 878
300 951 -124
180 794 -287
118 279 598
264 606 -308
274 197 373
303 596 -540
128 727 -221
134 751 428
119 556 126
75 45 996
960 874 130
317 928 -577
212 719 834
166 441 15
551 779 145
498 50 144
949 717 -450
489 374 -951
461 306 -381
498 432 838
643 43 -704
226 748 863
4 421 554
893 770 19
808 150 -760
152 461 -681
988 189 -414
