20
979 894
689 379 845
103 132 106
272 341 5
388 918 619
593 104 157
950 506 411
485 851 904
505 442 474
908 514 877
395 563 -529
466 774 -798
275 7 -894
271 398 -306
887 611 -138
429 888 -519
631 252 684
355 442 886
822 893 814
613 792 -415
798 899 443
518 687 685
319 815 553
907 268 -269
765 377 384
7 636 -607
37 368 633
627 737 100
331 471 781
719 355 -854
23 413 874
39 732 -461
813 920 318
102 770 -393
671 547 705
180 600 -336
70 922 -931
906 470 152
660 339 -793
129 215 19
104 37 -827
164 168 339
402 773 -571
896 971 -634
360 61 16
910 932 -91
88 874 -989
617 64 -502
934 407 426
893 95 -481
161 830 19
110 421 376
412 545 -384
185 284 -353
578 475 910
793 435 -290
187 419 -673
552 147 -145
187 384 250
879 600 -11
279 671 -446
6 509 876
905 285 -378
549 359 -802
784 374 102
171 159 609
326 517 -539
139 185 182
448 836 805
554 930 -502
532 679 -845
816 349 439
913 197 507
528 871 195
705 839 351
23 679 -665
525 208 -884
83 466 -597
673 480 922
291 479 -141
512 36 579
255 279 -340
50 448 15
574 65 187
165 32 -927
693 815 -286
104 691 113
340 701 823
872 502 -27
701 36 983
867 332 709
530 358 359
668 563 544
456 601 -533
648 521 -375
357 327 -601
851 607 -373
830 516 721
404 911 728
885 534 697
604 486 -866
704 696 769
6 397 -342
464 423 -947
658 176 -958
724 124 195
493 268 304
859 226 -205
833 707 -585
518 142 -364
322 406 -951
541 289 -799
112 435 784
837 780 395
939 543 301
685 171 37
242 330 958
300 411 -624
314 512 660
770 752 892
441 564 537
842 316 135
522 775 -861
344 450 352
894 269 337
479 291 -525
485 190 981
573 539 -40
360 586 59
124 885 865
734 858 -169
598 862 -12
122 801 152
946 902 -684
885 186 148
768 573 491
194 84 -721
643 784 -581
672 231 -985
471 103 -258
21 311 -749
44 898 -306
644 194 -108
192 122 289
611 827 84
288 760 -869
693 373 -326
63 374 -32
247 51 263
957 695 648
346 318 381
400 910 295
924 837 762
643 277 13
956 204 519
54 873 -577
542 332 -407
811 849 236
137 425 73
765 341 958
59 952 965
883 417 878
412 385 796
855 838 -75
333 928 603
304 253 -970
811 646 55
150 795 272
552 493 -957
764 92 -516
806 508 -177
655 407 336
849 921 551
561 154 523
564 198 440
953 552 -805
672 511 -546
636 626 -885
654 166 -338
453 762 382
110 808 -512
390 839 -356
20 411 802
462 750 -301
409 599 -7
694 54 -550
835 649 280
596 49 23
624 508 670
91 22 -647
551 113 487
153 402 33
974 640 841
546 698 748
755 438 -947
92 378 423
102 671 -506
150 425 21
526 759 570
691 530 878
300 331 933
53 560 -41
912 361 -513
887 235 238
336 864 -907
761 479 165
632 859 655
433 510 -161
355 39 -857
520 749 21
370 520 -619
827 629 -628
806 616 941
664 970 -262
826 189 -199
771 304 -643
179 666 -360
167 842 591
91 715 198
327 960 329
678 884 33
470 964 -957
699 545 568
704 919 -888
626 398 843
482 256 -961
399 320 -453
83 733 -363
375 735 -307
850 53 -746
386 532 138
630 805 -753
778 4 -158
703 690 -213
87 89 -73
730 72 268
