9882 27338
8081 8886 -16
3073 7862 -772
4704 3926 -823
2755 3343 630
3589 531 545
2378 3487 -49
5863 5662 467
3051 8189 554
1377 4661 -8
1012 7789 -766
2541 8647 -957
6954 2240 -660
5533 7282 927
8494 1891 767
3307 8769 577
4040 9279 810
3481 2368 258
2464 9287 628
7298 7842 823
7561 9540 505
3083 3276 607
7037 6494 782
5973 8955 938
6079 7034 455
7617 3530 312
6801 1693 622
8255 3394 390
7112 6688 862
190 2770 965
9123 1937 -946
7885 1743 152
1119 3772 109
634 3580 -321
6879 5050 -763
4015 8919 934
4221 590 208
8754 1006 -133
5229 1692 -227
1208 3014 -832
8150 1846 -174
2962 9087 -545
8363 3553 -110
8809 9823 87
3586 3986 -733
1236 4172 243
4636 8244 -900
8568 4298 848
3409 6802 -785
83 4104 -483
329 5708 594
7781 4795 683
7609 3054 34
7088 6467 -481
4390 2317 345
7919 4923 730
2234 7161 868
5570 6114 604
3916 9780 -94
4389 1594 -595
1915 1752 347
9775 1090 -835
5522 4217 180
878 9620 159
7960 9266 -123
2899 3567 404
2284 618 977
7354 4016 391
5598 2379 56
2663 2669 -493
2170 206 -170
3396 6608 43
9861 1686 -201
3768 4384 -694
220 4154 996
8350 9749 -402
306 9284 390
3917 7147 -741
8600 2115 -199
9608 1538 867
3705 2529 630
9064 9715 734
8923 1162 -115
5036 2703 -108
4189 2285 -196
2576 2499 689
2121 3337 643
6508 7367 -366
5823 4412 -898
6705 1409 -958
7192 1966 542
5365 8194 591
1972 2568 -849
4196 8727 -70
2636 6344 -978
2251 4367 -713
1221 836 231
9625 7292 943
6107 5327 -678
3200 6762 210
3079 1097 185
409 6933 -972
9576 8253 970
9619 8360 -61
900 9036 -331
4504 3538 381
6317 1063 -511
9098 3991 -329
2583 6139 -464
7829 3531 681
2362 7322 -905
8017 500 707
4691 9233 -927
3505 7478 -496
4093 1741 -366
731 4755 287
1503 2482 499
2379 3957 -614
3466 8147 358
8602 8676 -991
8068 3437 274
7122 2933 -64
9071 919 -156
8744 4210 592
6792 718 -875
471 5208 66
660 9029 324
7729 7197 855
9270 9057 -598
7122 5254 -28
3605 2333 -40
2224 1412 262
2845 8053 973
3549 31 -490
9310 3549 -435
3559 5689 978
6547 4855 -392
3081 3715 308
4441 6785 385
5965 2606 -697
8354 1574 -23
3201 4429 -583
4780 1927 -730
1877 118 700
4833 3276 -900
299 8509 65
3127 6209 -549
24 7967 667
3947 171 969
5304 2752 313
1470 5789 -130
8973 7179 -898
6007 7962 991
303 5266 -360
6052 8788 867
7264 9207 788
7618 4295 969
3970 4000 590
4338 2325 -617
8663 957 109
128 8396 -557
7922 6885 -205
7214 4228 -245
7885 9055 506
982 1179 858
4622 1085 -317
1733 2266 513
1852 7836 941
3739 4498 541
6322 2714 -529
308 5734 -460
3902 6950 -234
770 6296 -577
6114 3304 689
676 590 224
8776 9 200
3984 4352 482
1861 6888 434
8373 6580 147
5058 7458 -997
7481 4145 822
1448 6910 179
7656 2297 185
4999 8132 -566
1377 1952 164
2512 5092 -706
5350 5134 -686
9841 9409 -875
8534 5028 -221
2224 82 -11
2058 7874 -928
9144 4067 -513
8149 4986 744
6180 713 -200
647 3033 -235
3316 3922 -281
6799 2246 -245
3619 6007 128
8403 7553 -740
7493 9102 -848
6958 8701 485
3776 7985 714
3991 2782 677
3275 8782 348
3908 3979 920
1853 8396 393
3872 2160 597
6799 2344 335
1277 9430 419
1559 1987 -157
1355 4490 -553
560 1317 -768
3490 2496 327
875 7141 -109
3015 1109 819
1632 1769 917
1115 763 -803
6193 7819 80
8413 4058 367
1319 10 516
6311 1393 -850
8976 8982 833
3735 950 -685
7084 3466 795
3363 3620 -463
3068 6166 -171
621 8409 -865
2737 5242 882
8986 87 953
3828 3417 -885
6174 3447 -342
4945 9689 387
1827 8192 334
1537 2895 -142
5975 2538 -967
3525 7886 444
1138 8302 765
6577 8381 338
4377 5123 -692
9558 6686 -624
1511 159 213
2785 1462 287
4193 3563 686
1288 374 -141
4815 9200 -205
215 1740 612
5572 4533 -948
8890 5319 433
5745 1357 362
3256 7257 -810
6397 8308 -135
7726 4051 -668
3283 885 714
3618 6624 -169
6318 7007 746
30 5353 -780
4593 9627 -372
3659 8723 40
972 6197 462
2739 3282 -638
1651 664 365
6971 6181 753
6852 5417 -147
7130 5736 -261
7543 8306 595
3392 8518 -875
8505 4388 653
8558 8397 -656
1684 5735 -575
9133 4096 -540
4097 7256 278
9551 6857 -254
6678 1465 -804
1570 251 81
1998 4614 -916
329 517 -672
4271 7447 -629
824 4091 119
1393 7239 -897
2771 2623 -34
1659 975 984
8605 1233 6
391 3643 356
2351 5955 714
4316 9015 903
6025 7185 774
1725 5159 729
2517 1227 743
9392 2564 897
2112 6266 -128
4624 8400 -801
1377 5191 -490
4346 7853 734
8639 8256 452
3368 818 41
7216 5979 294
1184 997 742
9277 5931 555
5992 5908 782
8038 3827 -532
2560 9688 -424
6521 8145 -716
5890 8220 -184
6262 739 439
6127 3164 708
200 5085 -225
6165 6467 944
4352 9084 -776
4780 8868 -754
2674 2209 825
6830 3105 -943
5222 9039 281
5252 4991 -739
4241 5427 425
5129 4440 382
72 1835 -413
7582 7217 -942
7859 422 -46
6904 9778 -142
3336 4207 -255
5681 8679 638
803 7998 420
4888 5197 941
3750 3618 941
1585 3393 17
6218 5478 -492
8243 7667 -708
8727 7338 41
5231 3341 408
2456 8189 618
4105 1656 -126
8028 1714 815
4335 9290 -199
5700 4825 834
5161 161 -723
6730 2688 -908
2543 4402 -725
9207 5212 635
4235 247 -406
1946 9654 469
2595 1493 622
3018 5241 -839
7957 8825 -466
9478 6799 876
4179 4822 -624
8269 2563 -433
6514 4626 704
2885 4318 -246
7454 3180 -19
515 1456 702
4439 43 688
4940 9100 423
5576 5077 415
4084 6481 779
4088 865 433
5584 3484 784
4635 2433 -308
7118 6542 -724
4960 8705 662
9556 5323 721
7472 413 649
8521 6619 610
3401 8337 -302
9635 7941 -564
7762 2496 -711
4564 1607 -20
836 76 -465
4760 5430 659
2008 9873 699
9324 6957 197
3667 850 273
5443 8046 -721
8218 9235 -990
8115 7960 -267
7589 3429 56
6996 3356 405
8797 2184 316
6234 9057 -264
7816 5870 -606
4174 6527 369
1442 179 380
4560 258 -763
9868 445 -625
3704 2 291
1949 9537 -908
1425 8722 -433
6503 8472 658
4882 6922 -956
592 8485 417
1266 3701 897
2695 7644 350
4678 853 -26
6891 5285 452
3501 5967 -72
2442 7 92
5884 6354 -286
4844 6015 468
8617 4648 910
7393 225 -983
774 4565 648
946 6655 258
1737 6488 -305
4531 6871 -98
8111 8483 290
2867 904 858
4079 6276 290
898 8027 -63
3724 9589 186
207 3404 552
9770 7272 394
1097 1786 227
3802 2667 -422
8078 4338 654
1368 6365 -447
1761 7286 -724
8312 6056 640
10 4646 -542
1981 955 944
4735 3823 907
3943 2602 664
9634 39 -663
5454 7649 -796
4900 1195 227
9389 3534 421
7412 2430 712
1262 5843 -661
3406 9234 344
3640 503 819
1101 3826 -51
1425 1116 -282
5831 2013 -748
8112 3804 -646
6561 2181 445
3059 167 -357
398 673 801
3605 1240 -490
3768 1613 517
1831 323 -744
774 1858 -821
3917 625 478
2574 7502 115
2333 6125 682
6428 8237 825
675 5585 111
7869 2766 360
3611 822 72
1918 461 -713
2929 2930 -117
8719 6824 924
5603 1718 305
4458 5552 -176
5109 6193 -412
199 9087 -77
125 2066 555
5488 2816 555
2354 8383 214
8752 283 813
8456 8426 580
6545 1799 -743
1377 8589 860
5676 1045 -104
6184 748 -860
4585 1096 -724
1639 8329 -393
5146 7223 633
266 7052 970
1810 5206 364
2131 3764 406
145 452 39
4320 2565 -740
3562 7563 -951
742 5784 -830
308 4369 -112
5919 5116 403
6279 7909 -128
